Algorithm;LoadFactor;Trial;OpType;AvgTimeNs;AvgProbes
LinearProbing;0,90;16;ClusteredSearch;128;21,51
LinearProbing;0,90;17;Insert;46;4,48
LinearProbing;0,90;17;Search;313;47,77
LinearProbing;0,90;17;ClusteredSearch;346;56,68
LinearProbing;0,90;18;Insert;48;4,55
LinearProbing;0,90;18;Search;429;49,86
LinearProbing;0,90;18;ClusteredSearch;226;37,66
LinearProbing;0,90;19;Insert;55;4,49
LinearProbing;0,90;19;Search;322;48,62
LinearProbing;0,90;19;ClusteredSearch;136;18,42
LinearProbing;0,90;20;Insert;72;4,43
LinearProbing;0,90;20;Search;378;48,13
LinearProbing;0,90;20;ClusteredSearch;1042;73,91
LinearProbing;0,90;21;Insert;78;4,25
LinearProbing;0,90;21;Search;577;47,53
LinearProbing;0,90;21;ClusteredSearch;352;22,96
LinearProbing;0,90;22;Insert;63;4,41
LinearProbing;0,90;22;Search;326;46,47
LinearProbing;0,90;22;ClusteredSearch;170;28,38
LinearProbing;0,90;23;Insert;58;4,56
LinearProbing;0,90;23;Search;434;49,42
LinearProbing;0,90;23;ClusteredSearch;216;36,25
LinearProbing;0,90;24;Insert;75;4,35
LinearProbing;0,90;24;Search;303;47,30
LinearProbing;0,90;24;ClusteredSearch;269;42,84
LinearProbing;0,90;25;Insert;74;4,58
LinearProbing;0,90;25;Search;303;48,22
LinearProbing;0,90;25;ClusteredSearch;217;34,58
LinearProbing;0,90;26;Insert;50;4,59
LinearProbing;0,90;26;Search;312;48,71
LinearProbing;0,90;26;ClusteredSearch;458;77,40
LinearProbing;0,90;27;Insert;46;4,74
LinearProbing;0,90;27;Search;423;52,31
LinearProbing;0,90;27;ClusteredSearch;197;33,05
LinearProbing;0,90;28;Insert;49;4,51
LinearProbing;0,90;28;Search;359;55,15
LinearProbing;0,90;28;ClusteredSearch;96;16,72
LinearProbing;0,90;29;Insert;104;4,64
LinearProbing;0,90;29;Search;502;49,91
LinearProbing;0,90;29;ClusteredSearch;202;33,83
LinearProbing;0,90;30;Insert;41;4,51
LinearProbing;0,90;30;Search;646;49,05
LinearProbing;0,90;30;ClusteredSearch;296;20,08
RobinHood;0,90;1;Insert;130;0,70
RobinHood;0,90;1;Search;118;4,92
RobinHood;0,90;1;ClusteredSearch;68;5,69
RobinHood;0,90;2;Insert;100;0,71
RobinHood;0,90;2;Search;50;4,91
RobinHood;0,90;2;ClusteredSearch;22;3,83
RobinHood;0,90;3;Insert;89;0,71
RobinHood;0,90;3;Search;48;4,73
RobinHood;0,90;3;ClusteredSearch;20;2,88
RobinHood;0,90;4;Insert;61;0,70
RobinHood;0,90;4;Search;50;5,10
RobinHood;0,90;4;ClusteredSearch;28;5,13
RobinHood;0,90;5;Insert;62;0,70
RobinHood;0,90;5;Search;50;5,14
RobinHood;0,90;5;ClusteredSearch;17;2,19
RobinHood;0,90;6;Insert;63;0,70
RobinHood;0,90;6;Search;48;4,89
RobinHood;0,90;6;ClusteredSearch;20;3,62
RobinHood;0,90;7;Insert;65;0,70
RobinHood;0,90;7;Search;49;4,78
RobinHood;0,90;7;ClusteredSearch;30;6,00
RobinHood;0,90;8;Insert;92;0,71
RobinHood;0,90;8;Search;57;5,13
RobinHood;0,90;8;ClusteredSearch;25;3,94
RobinHood;0,90;9;Insert;143;0,71
RobinHood;0,90;9;Search;93;5,06
RobinHood;0,90;9;ClusteredSearch;68;5,13
RobinHood;0,90;10;Insert;77;0,71
RobinHood;0,90;10;Search;51;5,15
RobinHood;0,90;10;ClusteredSearch;22;4,41
RobinHood;0,90;11;Insert;73;0,71
RobinHood;0,90;11;Search;96;4,81
RobinHood;0,90;11;ClusteredSearch;40;3,40
RobinHood;0,90;12;Insert;100;0,70
RobinHood;0,90;12;Search;64;4,67
RobinHood;0,90;12;ClusteredSearch;27;3,68
RobinHood;0,90;13;Insert;72;0,70
RobinHood;0,90;13;Search;48;4,80
RobinHood;0,90;13;ClusteredSearch;25;4,62
RobinHood;0,90;14;Insert;63;0,71
RobinHood;0,90;14;Search;50;4,92
RobinHood;0,90;14;ClusteredSearch;21;3,18
RobinHood;0,90;15;Insert;57;0,70
RobinHood;0,90;15;Search;47;4,71
RobinHood;0,90;15;ClusteredSearch;24;4,02
RobinHood;0,90;16;Insert;55;0,70
RobinHood;0,90;16;Search;50;5,00
RobinHood;0,90;16;ClusteredSearch;21;3,05
RobinHood;0,90;17;Insert;58;0,71
RobinHood;0,90;17;Search;59;4,97
RobinHood;0,90;17;ClusteredSearch;31;5,49
RobinHood;0,90;18;Insert;60;0,70
RobinHood;0,90;18;Search;48;5,00
RobinHood;0,90;18;ClusteredSearch;28;4,82
RobinHood;0,90;19;Insert;59;0,71
RobinHood;0,90;19;Search;49;4,97
RobinHood;0,90;19;ClusteredSearch;21;3,18
RobinHood;0,90;20;Insert;54;0,70
RobinHood;0,90;20;Search;55;4,87
RobinHood;0,90;20;ClusteredSearch;28;4,92
RobinHood;0,90;21;Insert;53;0,70
RobinHood;0,90;21;Search;50;4,79
RobinHood;0,90;21;ClusteredSearch;23;3,50
RobinHood;0,90;22;Insert;55;0,71
RobinHood;0,90;22;Search;49;4,83
RobinHood;0,90;22;ClusteredSearch;25;4,15
RobinHood;0,90;23;Insert;61;0,71
RobinHood;0,90;23;Search;50;5,06
RobinHood;0,90;23;ClusteredSearch;26;4,95
RobinHood;0,90;24;Insert;56;0,71
RobinHood;0,90;24;Search;51;4,86
RobinHood;0,90;24;ClusteredSearch;25;4,17
RobinHood;0,90;25;Insert;54;0,70
RobinHood;0,90;25;Search;50;4,96
RobinHood;0,90;25;ClusteredSearch;19;3,38
RobinHood;0,90;26;Insert;57;0,70
RobinHood;0,90;26;Search;48;4,97
RobinHood;0,90;26;ClusteredSearch;31;5,65
RobinHood;0,90;27;Insert;60;0,71
RobinHood;0,90;27;Search;49;5,20
RobinHood;0,90;27;ClusteredSearch;25;4,02
RobinHood;0,90;28;Insert;61;0,70
RobinHood;0,90;28;Search;50;5,00
RobinHood;0,90;28;ClusteredSearch;18;2,86
RobinHood;0,90;29;Insert;87;0,70
RobinHood;0,90;29;Search;61;5,11
RobinHood;0,90;29;ClusteredSearch;39;3,00
RobinHood;0,90;30;Insert;55;0,71
RobinHood;0,90;30;Search;48;5,00
RobinHood;0,90;30;ClusteredSearch;21;3,15
